"IPAddress","Port","User","BindType"
"172.17.1.5","42075","IHLE\barracuda","Simple"
"172.17.1.5","59965","IHLE\barracuda","Simple"
"172.17.1.5","57784","IHLE\barracuda","Simple"
"172.17.1.5","47854","IHLE\barracuda","Simple"
"172.17.1.5","35459","IHLE\barracuda","Simple"
"172.17.1.5","56693","IHLE\barracuda","Simple"
"172.17.99.180","59234","IHLE\xprweb","Simple"
"172.17.99.180","59233","IHLE\xprweb","Simple"
"172.17.99.180","59232","IHLE\xprweb","Simple"
"172.17.99.180","59231","IHLE\xprweb","Simple"
"172.17.99.180","59168","IHLE\xprweb","Simple"
"172.17.99.180","59167","IHLE\xprweb","Simple"
"172.17.99.180","59166","IHLE\xprweb","Simple"
"172.17.99.180","59165","IHLE\xprweb","Simple"
"172.17.1.5","36149","IHLE\barracuda","Simple"
"172.17.99.180","58432","IHLE\xprweb","Simple"
"172.17.99.180","58431","IHLE\xprweb","Simple"
"172.17.99.180","58394","IHLE\xprweb","Simple"
"172.17.99.180","58393","IHLE\xprweb","Simple"
"172.17.99.180","58392","IHLE\xprweb","Simple"
"172.17.99.180","58391","IHLE\xprweb","Simple"
"172.17.1.20","48778","IHLE\barracudama","Simple"
"172.17.1.20","48500","IHLE\barracudama","Simple"
"172.17.1.20","48094","IHLE\barracudama","Simple"
"172.17.99.180","58310","IHLE\xprweb","Simple"
"172.17.99.180","58309","IHLE\xprweb","Simple"
"172.17.99.180","58308","IHLE\xprweb","Simple"
"172.17.99.180","58307","IHLE\xprweb","Simple"
