"IPAddress","Port","User","BindType"
"172.17.99.180","56194","IHLE\xprweb","Simple"
"172.17.99.180","56193","IHLE\xprweb","Simple"
"172.17.99.180","56192","IHLE\xprweb","Simple"
"172.17.99.180","56107","IHLE\xprweb","Simple"
"172.17.99.180","55980","IHLE\xprweb","Simple"
"172.17.99.180","55966","IHLE\xprweb","Simple"
"172.17.99.180","55942","IHLE\xprweb","Simple"
"172.17.99.180","55931","IHLE\xprweb","Simple"
"172.17.99.180","55912","IHLE\xprweb","Simple"
"172.17.99.180","55896","IHLE\xprweb","Simple"
"172.17.99.180","55885","IHLE\xprweb","Simple"
"172.17.99.180","55876","IHLE\xprweb","Simple"
"172.17.99.180","55789","IHLE\xprweb","Simple"
"172.17.99.180","55729","IHLE\xprweb","Simple"
"172.17.99.180","55400","IHLE\xprweb","Simple"
"172.17.99.180","55399","IHLE\xprweb","Simple"
"172.17.99.180","55398","IHLE\xprweb","Simple"
"172.17.99.180","55397","IHLE\xprweb","Simple"
"172.17.99.180","55396","IHLE\xprweb","Simple"
"172.17.99.180","55356","IHLE\xprweb","Simple"
"172.17.99.180","55355","IHLE\xprweb","Simple"
"172.17.99.180","55354","IHLE\xprweb","Simple"
"172.17.99.180","55353","IHLE\xprweb","Simple"
"172.17.99.180","55352","IHLE\xprweb","Simple"
"172.17.99.180","55266","IHLE\xprweb","Simple"
"172.17.99.180","55256","IHLE\xprweb","Simple"
"172.17.99.180","55111","IHLE\xprweb","Simple"
"172.17.99.180","55062","IHLE\xprweb","Simple"
"172.17.99.180","55046","IHLE\xprweb","Simple"
"172.17.99.180","54960","IHLE\xprweb","Simple"
"172.17.99.180","54959","IHLE\xprweb","Simple"
"172.17.99.180","54956","IHLE\xprweb","Simple"
"172.17.99.180","54803","IHLE\xprweb","Simple"
"172.17.99.180","54802","IHLE\xprweb","Simple"
"172.17.99.180","54799","IHLE\xprweb","Simple"
"172.17.99.180","54796","IHLE\xprweb","Simple"
"172.17.99.180","54795","IHLE\xprweb","Simple"
"172.17.99.180","54792","IHLE\xprweb","Simple"
