"IPAddress","Port","User","BindType"
"172.17.91.1","62810","IHLE\compdata","Simple"
"172.17.91.1","62809","IHLE\compdata","Simple"
"172.17.91.1","62808","IHLE\compdata","Simple"
"172.17.91.1","62807","IHLE\compdata","Simple"
"172.17.91.1","62806","IHLE\compdata","Simple"
"172.17.91.1","62716","IHLE\compdata","Simple"
"172.17.91.1","62715","IHLE\compdata","Simple"
"172.17.91.1","62714","IHLE\compdata","Simple"
"172.17.91.1","62713","IHLE\compdata","Simple"
"172.17.91.1","62712","IHLE\compdata","Simple"
"172.17.91.1","62706","IHLE\compdata","Simple"
"172.17.91.1","62705","IHLE\compdata","Simple"
"172.17.91.1","62704","IHLE\compdata","Simple"
"172.17.91.1","62703","IHLE\compdata","Simple"
"172.17.91.1","62702","IHLE\compdata","Simple"
"172.17.91.1","62699","IHLE\compdata","Simple"
"172.17.91.1","62698","IHLE\compdata","Simple"
"172.17.91.1","62697","IHLE\compdata","Simple"
"172.17.91.1","62696","IHLE\compdata","Simple"
"172.17.91.1","62695","IHLE\compdata","Simple"
"172.17.91.1","62650","IHLE\compdata","Simple"
"172.17.91.1","62649","IHLE\compdata","Simple"
"172.17.91.1","62648","IHLE\compdata","Simple"
"172.17.91.1","62647","IHLE\compdata","Simple"
"172.17.91.1","62646","IHLE\compdata","Simple"
"172.17.91.1","62625","IHLE\compdata","Simple"
"172.17.91.1","62624","IHLE\compdata","Simple"
"172.17.91.1","62623","IHLE\compdata","Simple"
"172.17.91.1","62622","IHLE\compdata","Simple"
"172.17.91.1","62621","IHLE\compdata","Simple"
"172.17.91.1","62573","IHLE\compdata","Simple"
"172.17.91.1","62572","IHLE\compdata","Simple"
"172.17.91.1","62571","IHLE\compdata","Simple"
"172.17.91.1","62570","IHLE\compdata","Simple"
"172.17.91.1","62569","IHLE\compdata","Simple"
"172.17.91.1","62373","IHLE\compdata","Simple"
"172.17.91.1","62372","IHLE\compdata","Simple"
"172.17.91.1","62371","IHLE\compdata","Simple"
"172.17.91.1","62370","IHLE\compdata","Simple"
"172.17.91.1","62369","IHLE\compdata","Simple"
"172.17.91.1","62352","IHLE\compdata","Simple"
"172.17.91.1","62351","IHLE\compdata","Simple"
"172.17.91.1","62350","IHLE\compdata","Simple"
"172.17.91.1","62349","IHLE\compdata","Simple"
"172.17.91.1","62348","IHLE\compdata","Simple"
"172.17.91.1","62327","IHLE\compdata","Simple"
"172.17.91.1","62326","IHLE\compdata","Simple"
"172.17.91.1","62325","IHLE\compdata","Simple"
"172.17.91.1","62324","IHLE\compdata","Simple"
"172.17.91.1","62323","IHLE\compdata","Simple"
"172.17.91.1","62099","IHLE\compdata","Simple"
"172.17.91.1","62098","IHLE\compdata","Simple"
"172.17.91.1","62097","IHLE\compdata","Simple"
"172.17.91.1","62096","IHLE\compdata","Simple"
"172.17.91.1","62095","IHLE\compdata","Simple"
"172.17.91.1","62074","IHLE\compdata","Simple"
"172.17.91.1","62073","IHLE\compdata","Simple"
"172.17.91.1","62072","IHLE\compdata","Simple"
"172.17.91.1","62071","IHLE\compdata","Simple"
"172.17.91.1","62070","IHLE\compdata","Simple"
"172.17.91.1","62029","IHLE\compdata","Simple"
"172.17.91.1","62028","IHLE\compdata","Simple"
"172.17.91.1","62027","IHLE\compdata","Simple"
"172.17.91.1","62026","IHLE\compdata","Simple"
"172.17.91.1","62025","IHLE\compdata","Simple"
"172.17.91.1","62021","IHLE\compdata","Simple"
"172.17.91.1","62020","IHLE\compdata","Simple"
"172.17.91.1","62019","IHLE\compdata","Simple"
"172.17.91.1","62018","IHLE\compdata","Simple"
"172.17.91.1","62017","IHLE\compdata","Simple"
"172.17.91.1","61990","IHLE\compdata","Simple"
"172.17.91.1","61989","IHLE\compdata","Simple"
"172.17.91.1","61988","IHLE\compdata","Simple"
"172.17.91.1","61987","IHLE\compdata","Simple"
"172.17.91.1","61986","IHLE\compdata","Simple"
"172.17.91.1","61949","IHLE\compdata","Simple"
"172.17.91.1","61948","IHLE\compdata","Simple"
"172.17.91.1","61947","IHLE\compdata","Simple"
"172.17.91.1","61946","IHLE\compdata","Simple"
"172.17.91.1","61945","IHLE\compdata","Simple"
"172.17.91.1","61761","IHLE\compdata","Simple"
"172.17.91.1","61760","IHLE\compdata","Simple"
"172.17.91.1","61759","IHLE\compdata","Simple"
"172.17.91.1","61758","IHLE\compdata","Simple"
"172.17.91.1","61757","IHLE\compdata","Simple"
"172.17.91.1","61754","IHLE\compdata","Simple"
"172.17.91.1","61753","IHLE\compdata","Simple"
"172.17.91.1","61752","IHLE\compdata","Simple"
"172.17.91.1","61751","IHLE\compdata","Simple"
"172.17.91.1","61750","IHLE\compdata","Simple"
"172.17.91.1","61589","IHLE\compdata","Simple"
"172.17.91.1","61588","IHLE\compdata","Simple"
"172.17.91.1","61587","IHLE\compdata","Simple"
"172.17.91.1","61586","IHLE\compdata","Simple"
"172.17.91.1","61585","IHLE\compdata","Simple"
"172.17.91.1","61484","IHLE\compdata","Simple"
"172.17.91.1","61483","IHLE\compdata","Simple"
"172.17.91.1","61482","IHLE\compdata","Simple"
"172.17.91.1","61481","IHLE\compdata","Simple"
"172.17.91.1","61480","IHLE\compdata","Simple"
"172.17.91.1","61469","IHLE\compdata","Simple"
"172.17.91.1","61468","IHLE\compdata","Simple"
"172.17.91.1","61467","IHLE\compdata","Simple"
"172.17.91.1","61466","IHLE\compdata","Simple"
"172.17.91.1","61465","IHLE\compdata","Simple"
"172.17.91.1","61381","IHLE\compdata","Simple"
"172.17.91.1","61380","IHLE\compdata","Simple"
"172.17.91.1","61379","IHLE\compdata","Simple"
"172.17.91.1","61378","IHLE\compdata","Simple"
"172.17.91.1","61377","IHLE\compdata","Simple"
"172.17.91.1","61373","IHLE\compdata","Simple"
"172.17.91.1","61372","IHLE\compdata","Simple"
"172.17.91.1","61371","IHLE\compdata","Simple"
"172.17.91.1","61370","IHLE\compdata","Simple"
"172.17.91.1","61368","IHLE\compdata","Simple"
"172.17.91.1","61362","IHLE\compdata","Simple"
"172.17.91.1","61361","IHLE\compdata","Simple"
"172.17.91.1","61360","IHLE\compdata","Simple"
"172.17.91.1","61359","IHLE\compdata","Simple"
"172.17.91.1","61358","IHLE\compdata","Simple"
"172.17.91.1","61351","IHLE\compdata","Simple"
"172.17.91.1","61350","IHLE\compdata","Simple"
"172.17.91.1","61349","IHLE\compdata","Simple"
"172.17.91.1","61348","IHLE\compdata","Simple"
"172.17.91.1","61347","IHLE\compdata","Simple"
"172.17.91.1","61346","IHLE\compdata","Simple"
"172.17.91.1","61344","IHLE\compdata","Simple"
"172.17.91.1","61342","IHLE\compdata","Simple"
"172.17.91.1","61341","IHLE\compdata","Simple"
"172.17.91.1","61339","IHLE\compdata","Simple"
"172.17.91.1","61237","IHLE\compdata","Simple"
"172.17.91.1","61236","IHLE\compdata","Simple"
"172.17.91.1","61235","IHLE\compdata","Simple"
"172.17.91.1","61234","IHLE\compdata","Simple"
"172.17.91.1","61233","IHLE\compdata","Simple"
"172.17.91.1","61222","IHLE\compdata","Simple"
"172.17.91.1","61221","IHLE\compdata","Simple"
"172.17.91.1","61220","IHLE\compdata","Simple"
"172.17.91.1","61219","IHLE\compdata","Simple"
"172.17.91.1","61218","IHLE\compdata","Simple"
"172.17.91.1","61189","IHLE\compdata","Simple"
"172.17.91.1","61188","IHLE\compdata","Simple"
"172.17.91.1","61187","IHLE\compdata","Simple"
"172.17.91.1","61186","IHLE\compdata","Simple"
"172.17.91.1","61185","IHLE\compdata","Simple"
"172.17.91.1","61179","IHLE\compdata","Simple"
"172.17.91.1","61178","IHLE\compdata","Simple"
"172.17.91.1","61177","IHLE\compdata","Simple"
"172.17.91.1","61176","IHLE\compdata","Simple"
"172.17.91.1","61175","IHLE\compdata","Simple"
"172.17.91.1","61172","IHLE\compdata","Simple"
"172.17.91.1","61171","IHLE\compdata","Simple"
"172.17.91.1","61170","IHLE\compdata","Simple"
"172.17.91.1","61169","IHLE\compdata","Simple"
"172.17.91.1","61168","IHLE\compdata","Simple"
"172.17.91.1","61111","IHLE\compdata","Simple"
"172.17.91.1","61110","IHLE\compdata","Simple"
"172.17.91.1","61109","IHLE\compdata","Simple"
"172.17.91.1","61108","IHLE\compdata","Simple"
"172.17.91.1","61107","IHLE\compdata","Simple"
"172.17.91.1","61099","IHLE\compdata","Simple"
"172.17.91.1","61098","IHLE\compdata","Simple"
"172.17.91.1","61097","IHLE\compdata","Simple"
"172.17.91.1","61096","IHLE\compdata","Simple"
"172.17.91.1","61095","IHLE\compdata","Simple"
"172.17.91.1","61021","IHLE\compdata","Simple"
"172.17.91.1","61020","IHLE\compdata","Simple"
"172.17.91.1","61019","IHLE\compdata","Simple"
"172.17.91.1","61018","IHLE\compdata","Simple"
"172.17.91.1","61017","IHLE\compdata","Simple"
"172.17.91.1","61012","IHLE\compdata","Simple"
"172.17.91.1","61011","IHLE\compdata","Simple"
"172.17.91.1","61010","IHLE\compdata","Simple"
"172.17.91.1","61009","IHLE\compdata","Simple"
"172.17.91.1","61008","IHLE\compdata","Simple"
"172.17.91.1","60983","IHLE\compdata","Simple"
"172.17.91.1","60982","IHLE\compdata","Simple"
"172.17.91.1","60981","IHLE\compdata","Simple"
"172.17.91.1","60980","IHLE\compdata","Simple"
"172.17.91.1","60979","IHLE\compdata","Simple"
"172.17.91.1","60974","IHLE\compdata","Simple"
"172.17.91.1","60973","IHLE\compdata","Simple"
"172.17.91.1","60972","IHLE\compdata","Simple"
"172.17.91.1","60971","IHLE\compdata","Simple"
"172.17.91.1","60970","IHLE\compdata","Simple"
"172.17.91.1","60969","IHLE\compdata","Simple"
"172.17.91.1","60967","IHLE\compdata","Simple"
"172.17.91.1","60966","IHLE\compdata","Simple"
"172.17.91.1","60964","IHLE\compdata","Simple"
"172.17.91.1","60962","IHLE\compdata","Simple"
"172.17.91.1","60878","IHLE\compdata","Simple"
"172.17.91.1","60877","IHLE\compdata","Simple"
"172.17.91.1","60876","IHLE\compdata","Simple"
"172.17.91.1","60875","IHLE\compdata","Simple"
"172.17.91.1","60874","IHLE\compdata","Simple"
"172.17.91.1","60812","IHLE\compdata","Simple"
"172.17.91.1","60811","IHLE\compdata","Simple"
"172.17.91.1","60810","IHLE\compdata","Simple"
"172.17.91.1","60809","IHLE\compdata","Simple"
"172.17.91.1","60808","IHLE\compdata","Simple"
"172.17.91.1","60803","IHLE\compdata","Simple"
"172.17.91.1","60802","IHLE\compdata","Simple"
"172.17.91.1","60801","IHLE\compdata","Simple"
"172.17.91.1","60800","IHLE\compdata","Simple"
"172.17.91.1","60799","IHLE\compdata","Simple"
"172.17.91.1","60792","IHLE\compdata","Simple"
"172.17.91.1","60791","IHLE\compdata","Simple"
"172.17.91.1","60790","IHLE\compdata","Simple"
"172.17.91.1","60789","IHLE\compdata","Simple"
"172.17.91.1","60788","IHLE\compdata","Simple"
"172.17.91.1","60783","IHLE\compdata","Simple"
"172.17.91.1","60782","IHLE\compdata","Simple"
"172.17.91.1","60781","IHLE\compdata","Simple"
"172.17.91.1","60780","IHLE\compdata","Simple"
"172.17.91.1","60779","IHLE\compdata","Simple"
"172.17.91.1","60765","IHLE\compdata","Simple"
"172.17.91.1","60764","IHLE\compdata","Simple"
"172.17.91.1","60763","IHLE\compdata","Simple"
"172.17.91.1","60762","IHLE\compdata","Simple"
"172.17.91.1","60761","IHLE\compdata","Simple"
"172.17.91.1","60737","IHLE\compdata","Simple"
"172.17.91.1","60736","IHLE\compdata","Simple"
"172.17.91.1","60735","IHLE\compdata","Simple"
