"IPAddress","Port","User","BindType"
"172.17.99.180","58390","IHLE\xprweb","Simple"
"172.17.1.20","52898","IHLE\barracudama","Simple"
"172.17.1.20","52896","IHLE\barracudama","Simple"
"172.17.1.20","52892","IHLE\barracudama","Simple"
"172.17.1.20","52816","IHLE\barracudama","Simple"
"172.17.1.20","52814","IHLE\barracudama","Simple"
"172.17.1.20","52812","IHLE\barracudama","Simple"
"172.17.1.20","52620","IHLE\barracudama","Simple"
"172.17.1.20","52618","IHLE\barracudama","Simple"
"172.17.1.20","52214","IHLE\barracudama","Simple"
"172.17.1.20","52212","IHLE\barracudama","Simple"
"172.17.99.180","58306","IHLE\xprweb","Simple"
"172.17.1.20","51622","IHLE\barracudama","Simple"
"172.17.1.20","51568","IHLE\barracudama","Simple"
"172.17.1.20","51566","IHLE\barracudama","Simple"
"172.17.1.20","50842","IHLE\barracudama","Simple"
"172.17.1.20","50748","IHLE\barracudama","Simple"
"172.17.1.20","50746","IHLE\barracudama","Simple"
"172.17.99.180","58219","IHLE\xprweb","Simple"
"172.17.99.180","58209","IHLE\xprweb","Simple"
"172.17.1.20","50128","IHLE\barracudama","Simple"
"172.17.1.20","50126","IHLE\barracudama","Simple"
"172.17.1.20","49898","IHLE\barracudama","Simple"
"172.17.1.20","49856","IHLE\barracudama","Simple"
"172.17.1.20","49854","IHLE\barracudama","Simple"
"172.17.1.20","49848","IHLE\barracudama","Simple"
"172.17.1.20","49808","IHLE\barracudama","Simple"
"172.17.1.20","49804","IHLE\barracudama","Simple"
"172.17.1.20","49802","IHLE\barracudama","Simple"
"172.17.1.20","49760","IHLE\barracudama","Simple"
"172.17.1.20","49758","IHLE\barracudama","Simple"
"172.17.99.180","58183","IHLE\xprweb","Simple"
"172.17.1.20","49466","IHLE\barracudama","Simple"
"172.17.1.20","49464","IHLE\barracudama","Simple"
"172.17.1.20","49462","IHLE\barracudama","Simple"
"172.17.1.20","49460","IHLE\barracudama","Simple"
"172.17.1.20","49458","IHLE\barracudama","Simple"
"172.17.1.20","49456","IHLE\barracudama","Simple"
"172.17.1.20","49454","IHLE\barracudama","Simple"
"172.17.1.20","49400","IHLE\barracudama","Simple"
"172.17.1.20","49394","IHLE\barracudama","Simple"
